Symbol,Security,Industry,Series,ISIN Code
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,EQ,INE437A01024
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,EQ,INE021A01026
AXISBANK,Axis Bank Ltd.,Financial Services,EQ,INE238A01034
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,EQ,INE917I01010
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,EQ,INE296A01024
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,EQ,INE918I01026
BEL,Bharat Electronics Ltd.,Capital Goods,EQ,INE263A01024
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE029A01011
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,EQ,INE397D01024
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,EQ,INE216A01030
CIPLA,Cipla Ltd.,Healthcare,EQ,INE059A01026
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,EQ,INE522F01014
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,EQ,INE089A01031
DUMMYITC,Dummy ITC Ltd.,Consumer Services,EQ,DUM154A01025
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,EQ,INE066A01021
GRASIM,Grasim Industries Ltd.,Construction Materials,EQ,INE047A01021
HCLTECH,HCL Technologies Ltd.,Information Technology,EQ,INE860A01027
HDFCBANK,HDFC Bank Ltd.,Financial Services,EQ,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,EQ,INE795G01014
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,EQ,INE158A01026
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,EQ,INE038A01020
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,EQ,INE030A01027
ICICIBANK,ICICI Bank Ltd.,Financial Services,EQ,INE090A01021
ITC,ITC Ltd.,Fast Moving Consumer Goods,EQ,INE154A01025
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,EQ,INE095A01012
INFY,Infosys Ltd.,Information Technology,EQ,INE009A01021
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,EQ,INE019A01038
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,EQ,INE237A01028
LT,Larsen & Toubro Ltd.,Construction,EQ,INE018A01030
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,EQ,INE101A01026
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,EQ,INE585B01010
NTPC,NTPC Ltd.,Power,EQ,INE733E01010
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,EQ,INE239A01024
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE213A01029
POWERGRID,Power Grid Corporation of India Ltd.,Power,EQ,INE752E01010
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,INE002A01018
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,EQ,INE123W01016
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,EQ,INE721A01047
SBIN,State Bank of India,Financial Services,EQ,INE062A01020
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,EQ,INE044A01036
TCS,Tata Consultancy Services Ltd.,Information Technology,EQ,INE467B01029
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE192A01025
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components,EQ,INE155A01022
TATASTEEL,Tata Steel Ltd.,Metals & Mining,EQ,INE081A01020
TECHM,Tech Mahindra Ltd.,Information Technology,EQ,INE669C01036
TITAN,Titan Company Ltd.,Consumer Durables,EQ,INE280A01028
TRENT,Trent Ltd.,Consumer Services,EQ,INE849A01020
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,EQ,INE481G01011
WIPRO,Wipro Ltd.,Information Technology,EQ,INE075A01022
